Benchmark,Strategy,CompilationTime,ExecutionTime,CarbonEmission_gCO2,CodeSize
loops_branches,-O0,0.05497550964355469,0.00951075553894043,0.00010567506154378256,112128
loops_branches,-O2,0.06197953224182129,0.008661270141601562,9.623633490668403e-05,113152
loops_branches,-O3,0.0397181510925293,0.00943303108215332,0.00010481145646837022,115712
loops_branches,AI-Selected,0.1942434310913086,0.0100250244140625,0.00011138916015625,113152
math_heavy,-O0,0.03086376190185547,0.011734962463378906,0.0001303884718153212,111616
math_heavy,-O2,0.04290914535522461,0.009972095489501953,0.00011080106099446616,112128
math_heavy,-O3,0.0370488166809082,0.01177978515625,0.00013088650173611113,112128
math_heavy,AI-Selected,0.13441681861877441,0.009224176406860352,0.00010249084896511503,112128
memory_ops,-O0,0.03343701362609863,0.010485410690307617,0.0001165045632256402,112128
memory_ops,-O2,0.04393458366394043,0.014006376266479492,0.00015562640296088327,113152
memory_ops,-O3,0.05280280113220215,0.008408308029174805,9.342564476860894e-05,113152
memory_ops,AI-Selected,0.13164973258972168,0.009537220001220703,0.00010596911112467447,113152
security_checks,-O0,0.030978679656982422,0.009715795516967773,0.00010795328352186415,111616
security_checks,-O2,0.03756594657897949,0.01208043098449707,0.00013422701093885635,111616
security_checks,-O3,0.046983957290649414,0.00947713851928711,0.00010530153910319011,111616
security_checks,AI-Selected,0.1272282600402832,0.009395122528076172,0.00010439025031195748,111616
